track_id,spotify_id,title,track_artist,release_year,loudness,mode_name,decade
spotify:track:4o6BgsqLIBViaGVbx5rbRk,4o6BgsqLIBViaGVbx5rbRk,You Make My Dreams,Daryl Hall & John Oates,1980,-12.151,major,1980
spotify:track:7hDVN6GisA47ym0H93NA1Z,7hDVN6GisA47ym0H93NA1Z,Running,Information Society,1988,-14.671,major,1980
spotify:track:0deI3lZkgbVt6wRsv5s0Ev,0deI3lZkgbVt6wRsv5s0Ev,Out In The Fields,Gary Moore,1985,-8.189,minor,1980
spotify:track:3hx5R8nOKu5zvhlfDNSIQC,3hx5R8nOKu5zvhlfDNSIQC,Sucker M.C.'s (Krush-Groove 1),Run–D.M.C.,1984,-5.636,major,1980
spotify:track:1brpdmqkx3kSxyqzqXfW7J,1brpdmqkx3kSxyqzqXfW7J,Heaven's On Fire,KISS,1984,-6.053,major,1980
spotify:track:0ZNFoXjeI3yDbXI4THHbzl,0ZNFoXjeI3yDbXI4THHbzl,First Finale,オメガトライブ,1985,-6.22,major,1980
spotify:track:5VtqYOQrtrBoaZKMaY0HcK,5VtqYOQrtrBoaZKMaY0HcK,Georgia - 2003 Digital Remaster,Orchestral Manoeuvres In The Dark,1981,-6.369,minor,1980
spotify:track:3ycOJKN5U4l1nLPM5IYJh6,3ycOJKN5U4l1nLPM5IYJh6,Tom Sawyer,Rush,1981,-7.937,major,1980
spotify:track:3298yRJKPcCndQdNiTZKIo,3298yRJKPcCndQdNiTZKIo,Sweet Caroline,Neil Diamond,1987,-16.057,major,1980
spotify:track:1ynmMEK1fkyiZ6Z6F3ThEt,1ynmMEK1fkyiZ6Z6F3ThEt,Centerfold,The J. Geils Band,1981,-12.244,major,1980
spotify:track:2RaA6kIcvomt77qlIgGhCT,2RaA6kIcvomt77qlIgGhCT,Breaking the Law,Judas Priest,1980,-5.664,major,1980
spotify:track:5cV7iNvMXJyMhFNY0HFbQh,5cV7iNvMXJyMhFNY0HFbQh,Gangsta Gangsta,N.W.A.,1988,-3.777,minor,1980
spotify:track:2V8KvnD5LVeeDChMWEkSzC,2V8KvnD5LVeeDChMWEkSzC,Nothin' But A Good Time - Remastered 2006,Poison,1988,-2.785,major,1980
spotify:track:5KhICfI5WQDmdEArnSImOL,5KhICfI5WQDmdEArnSImOL,Eastern Railroad,オメガトライブ,1984,-5.481,minor,1980
spotify:track:7EmSPZ9f1AiLR9eVHNSI62,7EmSPZ9f1AiLR9eVHNSI62,Brothers In Arms,Dire Straits,1985,-13.904,minor,1980
spotify:track:2fdfsGuqb6SBX5ocoBWHUd,2fdfsGuqb6SBX5ocoBWHUd,The One I Love - Remastered,R.E.M.,1987,-4.626,major,1980
spotify:track:4y7EaP5J09FJmclmmvM1jN,4y7EaP5J09FJmclmmvM1jN,Over The Hills And Far Away,Gary Moore,1987,-12.409,major,1980
spotify:track:7qm1JpihtROAIU1XpvqYHS,7qm1JpihtROAIU1XpvqYHS,Human - Edit,The Human League,1988,-10.313,major,1980
spotify:track:5KMPp9asnxJwvaBuSZ5Nsn,5KMPp9asnxJwvaBuSZ5Nsn,"You Just Haven't Earned It Yet, Baby",The Smiths,1987,-5.106,major,1980
spotify:track:0cGG2EouYCEEC3xfa0tDFV,0cGG2EouYCEEC3xfa0tDFV,Tainted Love,Soft Cell,1981,-8.284,minor,1980
spotify:track:648BMGrt98kUbLo24A4vgj,648BMGrt98kUbLo24A4vgj,Hip To Be Square,Huey Lewis & The News,1986,-11.089,major,1980
spotify:track:4tFGNFIIZ9ANSewxGZyiDD,4tFGNFIIZ9ANSewxGZyiDD,The Headmaster Ritual - 2011 Remaster,The Smiths,1985,-6.184,major,1980
spotify:track:1AKI0dqAIamOa2UamiHNF9,1AKI0dqAIamOa2UamiHNF9,Piece Of My Love,Guy,1988,-16.669,major,1980
spotify:track:7y9yjpRtZajYzVpXHRjwGz,7y9yjpRtZajYzVpXHRjwGz,No More ?'s,Eazy-E,1988,-4.782,major,1980
spotify:track:4oDZ5L8izBals6jKBJDBcX,4oDZ5L8izBals6jKBJDBcX,Your Love,The Outfield,1985,-12.421,minor,1980
spotify:track:062mh4qAZyDV9dIQK70iu0,062mh4qAZyDV9dIQK70iu0,Miss You Much,Janet Jackson,1989,-8.719,minor,1980
spotify:track:4bHsxqR3GMrXTxEPLuK5ue,4bHsxqR3GMrXTxEPLuK5ue,Don't Stop Believin',Journey,1981,-9.072,major,1980
spotify:track:3C8xkK4Cir2QmiaN07GIZs,3C8xkK4Cir2QmiaN07GIZs,"Hold It Now, Hit It",Beastie Boys,1986,-8.768,minor,1980
